Date	Start Time (Sask)	Start Time (ET)	Visitor	Score	Home	Score	XGB% (Home Win)	Catboost	Elo% (Home Win)	Meta % Home Win	XGB 	Catboost	Elo	Meta
2025-10-11	5:00 PM	7:00 PM	New Jersey Devils	5	Tampa Bay Lightning	3	60.30%	63.40%	62.20%	62.20%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-11	5:00 PM	7:00 PM	Ottawa Senators	2	Florida Panthers	6	51.60%	54.10%	53.10%	53.10%	Correct	Correct	Correct	Correct
2025-10-11	5:00 PM	7:00 PM	Washington Capitals	4	New York Islanders	2	44.50%	46.70%	45.80%	45.80%	Correct	Correct	Correct	Correct
2025-10-11	5:00 PM	7:00 PM	New York Rangers	6	Pittsburgh Penguins	1	40.40%	42.50%	41.60%	41.60%	Correct	Correct	Correct	Correct
2025-10-11	5:00 PM	7:00 PM	Philadelphia Flyers	3	Carolina Hurricanes	4	75.20%	78.90%	77.40%	77.40%	Correct	Correct	Correct	Correct
2025-10-11	5:00 PM	7:00 PM	Montreal Canadiens	3	Chicago Blackhawks	2	28.70%	30.20%	29.60%	29.60%	Correct	Correct	Correct	Correct
2025-10-11	6:00 PM	8:00 PM	Utah Mammoth	3	Nashville Predators	2	37.80%	39.60%	38.90%	38.90%	Correct	Correct	Correct	Correct
2025-10-11	6:00 PM	8:00 PM	Columbus Blue Jackets	7	Minnesota Wild	4	39.20%	41.20%	40.40%	40.40%	Correct	Correct	Correct	Correct
2025-10-11	7:00 PM	9:00 PM	Dallas Stars	5	Colorado Avalanche	4	38.10%	40.00%	39.20%	39.20%	Correct	Correct	Correct	Correct
2025-10-11	8:00 PM	10:00 PM	Vancouver Canucks	1	Edmonton Oilers	3	54.60%	57.30%	56.20%	56.20%	Correct	Correct	Correct	Correct
2025-10-11	8:00 PM	10:00 PM	Anaheim Ducks	7	San Jose Sharks	6	27.00%	28.30%	27.80%	27.80%	Correct	Correct	Correct	Correct
2025-10-11	8:00 PM	10:00 PM	Vegas Golden Knights	1	Seattle Kraken	2	31.70%	33.30%	32.70%	32.70%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-12	5:00 PM	7:00 PM	Washington Capitals	1	New York Rangers	0	42.60%	44.70%	43.80%	43.80%	Correct	Correct	Correct	Correct
2025-10-13	10:30 AM	12:30 PM	Colorado Avalanche	3	Buffalo Sabres	1	41.40%	43.40%	42.60%	42.60%	Correct	Correct	Correct	Correct
2025-10-13	11:00 AM	1:00 PM	Tampa Bay Lightning	4	Boston Bruins	3	23.90%	25.10%	24.60%	24.60%	Correct	Correct	Correct	Correct
2025-10-13	11:00 AM	1:00 PM	Nashville Predators	4	Ottawa Senators	1	65.50%	68.70%	67.40%	67.40%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-13	11:00 AM	1:00 PM	Winnipeg Jets	5	New York Islanders	2	27.00%	28.40%	27.90%	27.90%	Correct	Correct	Correct	Correct
2025-10-13	2:00 PM	4:00 PM	Detroit Red Wings	3	Toronto Maple Leafs	2	49.90%	52.40%	51.40%	51.40%	Correct	Incorrect	Incorrect	Incorrect
2025-10-13	5:00 PM	7:00 PM	Florida Panthers	2	Philadelphia Flyers	5	33.20%	34.90%	34.20%	34.20%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-13	5:00 PM	7:00 PM	New Jersey Devils	3	Columbus Blue Jackets	2	60.10%	63.10%	61.90%	61.90%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-13	5:30 PM	7:30 PM	St. Louis Blues	5	Vancouver Canucks	2	38.40%	40.30%	39.50%	39.50%	Correct	Correct	Correct	Correct
2025-10-13	6:00 PM	8:00 PM	Los Angeles Kings	3	Minnesota Wild	4	50.60%	53.10%	52.10%	52.10%	Correct	Correct	Correct	Correct
2025-10-13	6:30 PM	8:30 PM	Utah Mammoth	1	Chicago Blackhawks	3	27.60%	29.00%	28.40%	28.40%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-14	5:00 PM	7:00 PM	Nashville Predators	4	Toronto Maple Leafs	7	67.30%	70.70%	69.40%	69.40%	Correct	Correct	Correct	Correct
2025-10-14	5:00 PM	7:00 PM	Seattle Kraken	4	Montreal Canadiens	5	57.30%	60.20%	59.00%	59.00%	Correct	Correct	Correct	Correct
2025-10-14	5:00 PM	7:00 PM	Edmonton Oilers	2	New York Rangers	0	45.90%	48.20%	47.30%	47.30%	Correct	Correct	Correct	Correct
2025-10-14	5:00 PM	7:00 PM	Tampa Bay Lightning	2	Washington Capitals	3	44.70%	47.00%	46.10%	46.10%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-14	7:00 PM	9:00 PM	Vegas Golden Knights	4	Calgary Flames	2	39.70%	41.70%	40.90%	40.90%	Correct	Correct	Correct	Correct
2025-10-14	7:30 PM	9:30 PM	Minnesota Wild	2	Dallas Stars	5	70.20%	73.70%	72.30%	72.30%	Correct	Correct	Correct	Correct
2025-10-14	8:00 PM	10:00 PM	Carolina Hurricanes	5	San Jose Sharks	1	14.40%	15.10%	14.90%	14.90%	Correct	Correct	Correct	Correct
2025-10-14	8:30 PM	10:30 PM	Pittsburgh Penguins	3	Anaheim Ducks	4	57.20%	60.10%	59.00%	59.00%	Correct	Correct	Correct	Correct
2025-10-15	5:00 PM	7:00 PM	Ottawa Senators	4	Buffalo Sabres	8	46.60%	48.90%	48.00%	48.00%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-15	5:00 PM	7:00 PM	Florida Panthers	1	Detroit Red Wings	4	50.60%	53.10%	52.10%	52.10%	Correct	Correct	Correct	Correct
2025-10-15	7:30 PM	9:30 PM	Chicago Blackhawks	8	St. Louis Blues	3	79.30%	83.20%	81.60%	81.60%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-15	7:30 PM	9:30 PM	Calgary Flames	1	Utah Mammoth	3	50.10%	52.60%	51.60%	51.60%	Correct	Correct	Correct	Correct
2025-10-16	5:00 PM	7:00 PM	New York Rangers	1	Toronto Maple Leafs	2	57.50%	60.30%	59.20%	59.20%	Correct	Correct	Correct	Correct
2025-10-16	5:00 PM	7:00 PM	Nashville Predators	2	Montreal Canadiens	3	60.90%	63.90%	62.70%	62.70%	Correct	Correct	Correct	Correct
2025-10-16	5:00 PM	7:00 PM	Seattle Kraken	3	Ottawa Senators	4	62.00%	65.10%	63.90%	63.90%	Correct	Correct	Correct	Correct
2025-10-16	5:00 PM	7:00 PM	Florida Panthers	1	New Jersey Devils	3	45.30%	47.60%	46.70%	46.70%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-16	5:00 PM	7:00 PM	Edmonton Oilers	2	New York Islanders	4	47.80%	50.20%	49.30%	49.30%	Incorrect	Correct	Incorrect	Incorrect
2025-10-16	5:00 PM	7:00 PM	Winnipeg Jets	5	Philadelphia Flyers	2	18.40%	19.30%	19.00%	19.00%	Correct	Correct	Correct	Correct
2025-10-16	5:00 PM	7:00 PM	Colorado Avalanche	4	Columbus Blue Jackets	1	51.80%	54.40%	53.30%	53.30%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-16	6:00 PM	8:00 PM	Vancouver Canucks	5	Dallas Stars	3	71.80%	75.40%	74.00%	74.00%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-16	8:00 PM	10:00 PM	Boston Bruins	5	Vegas Golden Knights	6	75.70%	79.50%	78.00%	78.00%	Correct	Correct	Correct	Correct
2025-10-16	8:00 PM	10:00 PM	Carolina Hurricanes	4	Anaheim Ducks	1	31.30%	32.90%	32.30%	32.30%	Correct	Correct	Correct	Correct
2025-10-16	8:00 PM	10:00 PM	Pittsburgh Penguins	4	Los Angeles Kings	2	60.40%	63.50%	62.30%	62.30%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-17	5:00 PM	7:00 PM	Tampa Bay Lightning	1	Detroit Red Wings	2	44.80%	47.10%	46.20%	46.20%	Incorrect	Incorrect	Incorrect	Incorrect
2025-10-17	5:00 PM	7:00 PM	Minnesota Wild	1	Washington Capitals	5	56.00%	58.80%	57.60%	57.60%	Correct	Correct	Correct	Correct
2025-10-17	6:30 PM	8:30 PM	Vancouver Canucks	3	Chicago Blackhawks	2	29.60%	31.10%	30.50%	30.50%	Correct	Correct	Correct	Correct
2025-10-17	7:00 PM	9:00 PM	San Jose Sharks	3	Utah Mammoth	6	76.30%	80.10%	78.60%	78.60%	Correct	Correct	Correct	Correct
2025-10-18	11:00 AM	1:00 PM	Florida Panthers	0	Buffalo Sabres	3	76.30%	80.10%	78.60%	78.60%	Correct	Correct	Correct	Correct
